Evaluations,Fitness
1,-0.5623608628075194
5,-1.0614607548901325
6,-1.1708264474016794
12,-3.3030990381151843
24,-3.5039339803967007
26,-3.565730716494085
100,-3.590620451768163
120,-3.8100095278137607
205,-3.8271455787936546
325,-3.847827980720022
330,-3.8508847369878687
394,-3.852777179882236
398,-3.85479372717226
414,-3.859214057519515
456,-3.8606696429773004
480,-3.8622027299991495
497,-3.8623696569671826
587,-3.8627133683407195
810,-3.862716061012207
812,-3.86274527584603
818,-3.862748412052152
820,-3.8627484120521522
872,-3.8627611344297588
880,-3.8627630355403824
918,-3.8627734059234022
990,-3.862775227992867
1008,-3.862775294529762
1012,-3.862775513409221
1017,-3.862776857108714
1021,-3.8627776037699277
1038,-3.86277760988383
1043,-3.8627778253140956
1070,-3.8627793977463725
1180,-3.8627793990232955
1183,-3.862779487071119
1229,-3.862779599131546
1247,-3.862779635942969
1256,-3.8627797716700165
1392,-3.8627797814872995
1402,-3.8627797834706232
1534,-3.8627797844388017
1582,-3.8627797845200567
1619,-3.86277978464449
1622,-3.862779785354396
1649,-3.8627797869041833
1714,-3.8627797870020713
1718,-3.862779787098237
1754,-3.8627797872036265
1797,-3.8627797872544116
1885,-3.8627797872965735
1889,-3.8627797873088525
1902,-3.862779787323826
1904,-3.8627797873240617
1969,-3.862779787332448
2219,-3.8627797873324936
2275,-3.862779787332502
2288,-3.8627797873325043
2297,-3.862779787332535
2330,-3.862779787332558
2335,-3.8627797873325584
2360,-3.8627797873325997
2385,-3.862779787332623
2410,-3.862779787332632
2436,-3.8627797873326464
2440,-3.8627797873326584
2490,-3.8627797873326597
2586,-3.86277978733266
2592,-3.862779787332662
2741,-3.8627797873326624
2836,-3.862779787332663
