Evaluations,Fitness
1,998.0439026728898
2,94.84105371445223
4,2.317826412444945
5,0.8712362089022408
6,0.6429490067515987
35,0.10853868030019066
53,-0.13712019894679373
107,-0.20732678471665983
112,-0.6326112867295376
168,-0.8283450504072012
171,-0.8692058636945003
179,-0.9456686231761496
288,-1.0257535688172221
489,-1.028881510363729
518,-1.030623411301575
675,-1.0311493419248965
706,-1.0314769937870412
847,-1.0316004326410833
953,-1.0316221636187473
2153,-1.031624239906433
2450,-1.031626298012833
2559,-1.031626782133204
2803,-1.031627942040244
5103,-1.0316279761492617
9553,-1.0316279768370085
11903,-1.0316279770482197
12703,-1.0316279774616854
12863,-1.0316279776504012
